SinchManufacturerID|ManufacturerName|ThumbImageUrl
912|Sennheiser|http://images.stockinthechannel.com/pic/Ha7RchOkHEyrWilcU1Wx9A.c-t.jpg
913|SonicWALL|http://images.stockinthechannel.com/pic/0HOcPJyM-EeTYLfQlbC28g.c-t.jpg
923|Orange|
928|Plasmon|http://images.stockinthechannel.com/pic/RxH1h6HfoEqWVLdEIHnk8w.c-t.jpg
929|QLogic|http://images.stockinthechannel.com/pic/ADOIrtFSSEKMItQxD5JRIQ.c-t.jpg
936|Argosy|
938|ATL|
948|Chenbro Micom|http://images.stockinthechannel.com/pic/PSgxeExhWU26iLhhwztQgA.c-t.jpg
949|Cokin|http://images.stockinthechannel.com/pic/7sQKFLrmVUaZGJ39OBwbPg.c-t.jpg
953|Gepe|
966|EMC|http://images.stockinthechannel.com/pic/GlZ7KjlWXkqW49ii8ZmG5Q.c-t.jpg
967|Emulex|http://images.stockinthechannel.com/pic/ZY-aXe9w7EKitu-0VndwoQ.c-t.jpg
969|Citizen|http://images.stockinthechannel.com/pic/wj7RlUufBUqlaUHZ5Mbz2A.c-t.jpg
977|Hypertec|
978|Infortrend|
990|Microsemi|http://images.stockinthechannel.com/pic/Y_UyN7fATkuIx3WHqsbL5Q.c-t.jpg
999|Tandberg Data|http://images.stockinthechannel.com/pic/9B6ZRsBMXk-NKKih8aHTLw.c-t.jpg
1017|Bantex|http://images.stockinthechannel.com/pic/qZmOHiYP5kKN9y8xSej5MA.c-t.jpg
